fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency
MAPAX,MainStay MAP Equity Fund Class A,Large Blend,MainStay,1040000000,12.45,0.65,2,8/6/1999,Blend,Large,USD
MAPBX,MainStay MAP Equity Fund Class B,Large Blend,MainStay,1040000000,12.18,0,2,8/6/1999,Blend,Large,USD
MAPCX,"BlackRock Asian Dragon Fund,Inc.Institutional Shares",Pacific/Asia ex-Japan Stk,BlackRock,161070000,14.8,0.74,3,22/9/1976,Blend,Large,USD
MAPIX,Matthews Asia Dividend Fund Investor Class,Diversified Pacific/Asia,Matthews Asia Funds,6370000000,7.06,1.83,4,30/10/2006,Blend,Large,USD
MAPLX,"Morgan Stanley Institutional Fund, Inc. Advantage Portfolio Class L",Large Growth,Morgan Stanley,344170000,17.97,0,5,29/6/2008,Growth,Large,USD
MAPOX,Mairs & Power Balanced Fund Investor Class,Allocation - 50% to 70% Equity,Mairs & Power,880170000,8.84,2.19,5,9/11/1961,Blend,Large,USD
MAPPX,"Morgan Stanley Institutional Fund, Inc. Advantage Portfolio Class A",Large Growth,Morgan Stanley,344170000,17.96,0,5,20/5/2010,Growth,Large,USD
MAPRX,MainStay MAP Equity Fund Class R1,Large Blend,MainStay,1040000000,12.52,0.73,2,1/1/2004,Blend,Large,USD
MAPTX,Matthews Pacific Tiger Fund Investor Class,Pacific/Asia ex-Japan Stk,Matthews Asia Funds,9240000000,7.59,0.69,4,11/9/1994,Growth,Large,USD
MAPYX,BlackRock Pennsylvania Municipal Bond Fund Institutional Shares,Muni Pennsylvania,BlackRock,508500000,2.84,3.9,5,30/8/1990,Blend,Large,USD
MARFX,BlackRock Mid Cap Dividend Fund Institutional Shares,Mid-Cap Value,BlackRock,339580000,11.76,1.79,3,31/1/1995,Value,Medium,USD
MARIX,BNY Mellon International Appreciation Fund Investor Shares,Foreign Large Blend,BNY Mellon Funds,52190000,9.4,2.09,2,31/3/1997,Blend,Large,USD
MARLX,MFS Arkansas Municipal Bond Fund Class I,Muni Single State Long,MFS,151720000,2.76,3.04,4,31/3/2016,Blend,Medium,USD
MARNX,Convergence Core Plus Fund Institutional Class,Large Blend,Convergence,100350000,3.78,0.38,2,28/12/2009,Value,Large,USD
MARRX,MFS Moderate Allocation Fund Class R2,Allocation - 50% to 70% Equity,MFS,5460000000,9.95,1.84,3,30/10/2003,Growth,Large,USD
MASAX,MainStay MacKay Unconstrained Fund Class A,Nontraditional Bond,MainStay,1060000000,2.98,3.23,4,27/2/1997,Growth,Small,USD
MASBX,MainStay MacKay Unconstrained Fund Class B,Nontraditional Bond,MainStay,1060000000,2.8,2.47,3,27/2/1997,Growth,Small,USD
MASCX,Victory Munder Small Cap Growth Fund Class A,Small Growth,Victory,8590000,17.46,0,4,30/4/2015,Growth,Small,USD
MASFX,Litman Gregory Masters Alternative Strategies Fund Institutional Class,Multialternative,Litman Gregory Masters Funds,1850000000,3.94,3.2,5,29/9/2011,Growth,Medium,USD
MASGX,Matthews Asia ESG Fund Investor Class,Pacific/Asia ex-Japan Stk,Matthews Asia Funds,18060000,33.79,2.32,0,29/4/2015,Blend,Large,USD
MASKX,iShares Russell 2000 Small-Cap Index Fund Institutional Shares,Small Blend,BlackRock,1990000000,14.52,0.99,4,8/4/1997,Growth,Small,USD
MASNX,Litman Gregory Masters Alternative Strategies Fund Investor Class,Multialternative,Litman Gregory Masters Funds,1850000000,3.88,2.94,4,29/9/2011,Growth,Medium,USD
MASPX,"BlackRock Advantage U.S. Total Market Fund, Inc.Institutional Shares",Large Blend,BlackRock,426400000,13.69,1.35,2,4/5/1978,Blend,Large,USD
MASSX,Mutual of America Institutional Funds Inc Small Cap Growth Fund,Small Growth,Mutual of America,8500000,15.59,0.04,2,30/4/2007,Growth,Small,USD
MASTX,BMO Large-Cap Growth Fund Class Y,Large Growth,BMO Funds,405390000,14.14,0.29,3,19/11/1992,Growth,Large,USD
MASVX,Madison Small Cap Fund Class A,Small Blend,Madison Funds,37700000,10.04,0.67,2,26/12/2006,Blend,Small,USD
MATFX,Matthews Asia Innovators Fund Investor Class Shares,Pacific/Asia ex-Japan Stk,Matthews Asia Funds,292700000,17.14,0.3,4,26/12/1999,Growth,Large,USD
MATIX,MainStay Epoch U.S. All Cap Fund Class I,Large Blend,MainStay,726540000,13.48,0.57,2,1/1/1991,Blend,Large,USD
MATZX,AMG Managers Amundi Short Duration Government Fund Class Z,Ultrashort Bond,AMG Funds,128520000,1.05,1.88,3,23/2/2017,Value,Large,USD
MAUCX,Pioneer Multi-Asset Ultrashort Income Fund Class C2,Ultrashort Bond,Pioneer Investments,5870000000,1,2.27,3,31/7/2013,Value,Medium,USD
MAUKX,Pioneer Multi-Asset Ultrashort Income Fund Class K,Ultrashort Bond,Pioneer Investments,5870000000,1.13,2.81,5,19/12/2012,Value,Medium,USD
MAVAX,Matthews Asia Value Fund Institutional Class,Diversified Pacific/Asia,Matthews Asia Funds,30020000,8.81,1.51,5,29/11/2015,Value,Medium,USD
MAVFX,Matrix Advisors Value Fund,Large Value,Matrix/LMH,52240000,11.81,1.29,1,30/6/1996,Value,Large,USD
MAVRX,Matthews Asia Value Fund Investor Class,Diversified Pacific/Asia,Matthews Asia Funds,30020000,8.75,1.29,5,29/11/2015,Value,Medium,USD
MAVSX,Mutual of America Institutional Funds Inc Small Cap Value Fund,Small Blend,Mutual of America,10610000,10.27,0.65,2,30/4/2007,Blend,Small,USD
MAVVX,FDP BlackRock Equity Dividend Fund Institutional Shares,Large Value,FDP Series Funds,60520000,10.2,1.24,3,26/7/2005,Value,Large,USD
MAWAX,MFS Aggressive Growth Allocation Fund Class R2,Allocation - 85%+ Equity,MFS,1790000000,14.04,1.19,5,30/10/2003,Growth,Large,USD
MAWBX,MainStay Epoch U.S. All Cap Fund Class B,Large Blend,MainStay,726540000,13.19,0,2,1/1/2004,Blend,Large,USD
MAWCX,MainStay Epoch U.S. All Cap Fund Class C,Large Blend,MainStay,726540000,13.18,0,2,1/1/2004,Blend,Large,USD
MAWDX,MainStay Epoch U.S. All Cap Fund Class R6,Large Blend,MainStay,726540000,13.49,0.66,2,27/2/2018,Blend,Large,USD
MAWIX,"BlackRock Strategic Global Bond Fund, Inc. Institutional Shares",World Bond,BlackRock,283120000,2.68,2.42,4,28/9/1988,Blend,Large,USD
MAWNX,MainStay Epoch U.S. All Cap Fund Investor Class,Large Blend,MainStay,726540000,13.33,0.19,2,27/2/2008,Blend,Large,USD
MAYHX,BlackRock High Yield Municipal Fund Institutional Shares,High Yield Muni,BlackRock,1050000000,3.7,4.03,4,31/7/2006,Growth,Small,USD
MBAAX,Morgan Stanley Institutional Fund Trust Global Strategist Portfolio Class A,World Allocation,Morgan Stanley,277100000,8.05,3.21,4,31/10/1996,Blend,Large,USD
MBABX,MFS Alabama Municipal Bond Fund Class B,Muni Single State Long,MFS,64250000,2.51,2.45,2,6/9/1993,Blend,Medium,USD
MBACX,MainStay Balanced Fund Class C,Allocation - 50% to 70% Equity,MainStay,618940000,8.68,0.59,2,29/12/2002,Value,Large,USD
MBAGX,MFS Aggressive Growth Allocation Fund Class B,Allocation - 85%+ Equity,MFS,1790000000,13.92,0.63,4,27/6/2002,Growth,Large,USD
MBAIX,MainStay Balanced Fund Class I,Allocation - 50% to 70% Equity,MainStay,618940000,9,1.75,3,30/4/1989,Value,Large,USD
MBAPX,Praxis Genesis Balanced Portfolio Class A,Allocation - 50% to 70% Equity,Praxis Mutual Funds,75270000,8.22,1.99,3,30/12/2009,Blend,Large,USD
MBARX,MFS Arkansas Municipal Bond Fund Class B,Muni Single State Long,MFS,151720000,2.53,2.21,1,6/9/1993,Blend,Medium,USD
MBAYX,MassMutual Premier Balanced Fund Service Class,Allocation - 50% to 70% Equity,MassMutual,117590000,8.24,1.45,4,30/12/1997,Blend,Large,USD
MBBIX,MassMutual Premier Balanced Fund Class I,Allocation - 50% to 70% Equity,MassMutual,117590000,8.33,1.75,4,31/3/2014,Blend,Large,USD
MBBRX,MassMutual Premier Balanced Fund Class R4,Allocation - 50% to 70% Equity,MassMutual,117590000,8.22,1.33,4,31/3/2014,Blend,Large,USD
MBCAX,MFS California Municipal Bond Fund Class B,Muni California Long,MFS,415630000,3.01,2.61,2,6/9/1993,Growth,Medium,USD
MBCGX,MassMutual Select Blue Chip Growth Fund Class A,Large Growth,MassMutual,3100000000,15.93,0,4,31/5/2001,Growth,Large,USD
MBCLX,MassMutual Select Blue Chip Growth Fund Administrative Class,Large Growth,MassMutual,3100000000,16.06,0.17,5,30/5/2001,Growth,Large,USD
MBCNX,MassMutual Select Blue Chip Growth Fund Class R3,Large Growth,MassMutual,3100000000,15.92,0,4,29/12/2002,Growth,Large,USD
MBCRX,MainStay Balanced Fund Class R2,Allocation - 50% to 70% Equity,MainStay,618940000,8.88,1.4,3,1/1/2004,Value,Large,USD
MBCSX,MassMutual Select Blue Chip Growth Fund Class R5,Large Growth,MassMutual,3100000000,16.11,0.35,5,30/5/2001,Growth,Large,USD
MBCYX,MassMutual Select Blue Chip Growth Fund Service Class,Large Growth,MassMutual,3100000000,16.03,0.21,5,30/5/2001,Growth,Large,USD
MBCZX,MassMutual Select Blue Chip Growth Fund Class I,Large Growth,MassMutual,3100000000,16.09,0.44,4,31/3/2014,Growth,Large,USD
MBDFX,AMG GW&K Core Bond Fund Class I,Intermediate-Term Bond,AMG Funds,231810000,3.49,2.32,3,29/4/1993,Blend,Large,USD
MBDIX,MFS Corporate Bond Fund Class I,Corporate Bond,MFS,4130000000,5.6,3.33,4,1/1/1997,Growth,Medium,USD
MBDLX,AMG GW&K Core Bond Fund Class Z,Intermediate-Term Bond,AMG Funds,231810000,3.51,2.42,2,7/5/2015,Blend,Large,USD
MBDRX,MainStay Balanced Fund Class R3,Allocation - 50% to 70% Equity,MainStay,618940000,8.8,1.15,2,27/4/2006,Value,Large,USD
MBEAX,AMG Chicago Equity Partners Balanced Fund Class N,Allocation - 50% to 70% Equity,AMG Funds,256550000,7.27,1.17,4,1/1/1997,Blend,Large,USD
MBERX,MainStay Balanced Fund Class R6,Allocation - 50% to 70% Equity,MainStay,618940000,9.03,1.85,3,14/12/2017,Value,Large,USD
MBESX,AMG Chicago Equity Partners Balanced Fund Class I,Allocation - 50% to 70% Equity,AMG Funds,256550000,7.37,1.32,4,29/11/2012,Blend,Large,USD
MBEYX,AMG Chicago Equity Partners Balanced Fund Class Z,Allocation - 50% to 70% Equity,AMG Funds,256550000,7.33,1.41,4,1/1/1997,Blend,Large,USD
MBFAX,Wells Fargo Core Bond Fund - Class A,Intermediate-Term Bond,Wells Fargo Funds,5320000000,2.92,2.38,3,30/10/2001,Blend,Medium,USD
MBFCX,Wells Fargo Core Bond Fund - Class C,Intermediate-Term Bond,Wells Fargo Funds,5320000000,2.67,1.65,2,30/10/2001,Blend,Medium,USD
MBFGX,BlackRock Fundamental Growth B,Large Growth,BlackRock,2830000000,-2.74,0,3,20/10/1994,Growth,Large,USD
MBFIX,Wells Fargo Core Bond Fund - Class Inst,Intermediate-Term Bond,Wells Fargo Funds,5320000000,2.99,2.73,3,30/10/2001,Blend,Medium,USD
MBFRX,Wells Fargo Core Bond Fund - Class R4,Intermediate-Term Bond,Wells Fargo Funds,5320000000,2.96,2.64,3,29/11/2012,Blend,Medium,USD
MBGAX,MFS Georgia Municipal Bond Fund Class B,Muni Single State Long,MFS,85950000,2.55,2.23,1,6/9/1993,Blend,Medium,USD
MBGFX,MassMutual Select Blue Chip Growth Fund Class R4,Large Growth,MassMutual,3100000000,15.98,0.09,4,31/3/2014,Growth,Large,USD
MBGVX,AMG GW&K Core Bond Fund Class N,Intermediate-Term Bond,AMG Funds,231810000,3.41,1.98,2,7/5/2015,Blend,Large,USD
MBGWX,MFS Growth Allocation Fund Class B,Allocation - 70% to 85% Equity,MFS,4930000000,12.1,1.04,3,27/6/2002,Growth,Large,USD
MBINX,MainStay Balanced Fund Investor Class,Allocation - 50% to 70% Equity,MainStay,618940000,8.85,1.32,2,27/2/2008,Value,Large,USD
MBLAX,Madison Diversified Income Fund Class A,Allocation - 50% to 70% Equity,Madison Funds,168810000,8.42,1.73,4,28/12/1997,Blend,Large,USD
MBLCX,Madison Diversified Income Fund Class C,Allocation - 50% to 70% Equity,Madison Funds,168810000,8.15,1.02,4,30/7/2012,Blend,Large,USD
MBLDX,MassMutual Premier Balanced Fund Class R5,Allocation - 50% to 70% Equity,MassMutual,117590000,8.33,1.65,4,29/9/1994,Blend,Large,USD
MBLNX,Madison Diversified Income Fund Class B,Allocation - 50% to 70% Equity,Madison Funds,168810000,8.22,1.02,3,28/12/1997,Blend,Large,USD
MBMAX,MFS Massachusetts Municipal Bond Fund Class B,Muni Massachusetts,MFS,280820000,2.77,2.55,3,6/9/1993,Blend,Medium,USD
MBMDX,MFS Maryland Municipal Bond Fund Class B,Muni Single State Long,MFS,89470000,2.16,2.55,2,6/9/1993,Blend,Medium,USD
MBMSX,MFS Mississippi Municipal Bond Fund Class B,Muni Single State Long,MFS,89220000,2.23,2.54,2,6/9/1993,Blend,Medium,USD
MBNAX,MainStay Balanced Fund Class A,Allocation - 50% to 70% Equity,MainStay,618940000,8.88,1.51,3,1/1/2004,Value,Large,USD
MBNBX,MainStay Balanced Fund Class B,Allocation - 50% to 70% Equity,MainStay,618940000,8.68,0.59,2,1/1/2004,Value,Large,USD
MBNCX,MFS North Carolina Municipal Bond Fund Class B,Muni Single State Long,MFS,409730000,2.44,2.41,2,6/9/1993,Blend,Medium,USD
MBNRX,MainStay Balanced Fund Class R1,Allocation - 50% to 70% Equity,MainStay,618940000,8.95,1.65,3,1/1/2004,Value,Large,USD
MBNYX,MFS New York Municipal Bond Fund Class B,Muni New York Long,MFS,244690000,2.88,2.73,2,6/9/1993,Growth,Medium,USD
MBOAX,Madison Core Bond Fund Class A,Intermediate-Term Bond,Madison Funds,159090000,3.2,2.45,2,28/12/1997,Blend,Medium,USD
MBOBX,Madison Core Bond Fund Class B,Intermediate-Term Bond,Madison Funds,159090000,2.99,1.72,1,28/12/1997,Blend,Medium,USD
MBOYX,Madison Core Bond Fund Class Y,Intermediate-Term Bond,Madison Funds,159090000,3.18,2.71,2,29/6/2006,Blend,Medium,USD
MBPAX,MFS Pennsylvania Municipal Bond Fund Class B,Muni Pennsylvania,MFS,138910000,2.56,2.76,3,6/9/1993,Blend,Medium,USD
MBRRX,MFS Corporate Bond Fund Class R2,Corporate Bond,MFS,4130000000,5.47,2.85,3,30/10/2003,Growth,Medium,USD
MBRSX,AMG Managers Essex Small/Micro Cap Growth Fund - Class N,Small Growth,AMG Funds,22440000,16.58,0,2,24/6/2002,Growth,Small,USD
MBSCX,MFS South Carolina Municipal Bond Fund Class B,Muni Single State Long,MFS,190630000,2.46,2.34,1,6/9/1993,Blend,Medium,USD
MBSSX,MassMutual Select Strategic Bond Fund Class R5,Intermediate-Term Bond,MassMutual,687040000,4.12,2.63,5,30/12/2004,Blend,Medium,USD
MBSVX,Madison Small Cap Fund Class B,Small Blend,Madison Funds,37700000,9.78,0,2,26/12/2006,Blend,Small,USD
MBSYX,MassMutual Select Strategic Bond Fund Service Class,Intermediate-Term Bond,MassMutual,687040000,4.11,2.47,5,30/12/2004,Blend,Medium,USD
MBTNX,MFS Tennessee Municipal Bond Fund Class B,Muni Single State Long,MFS,97830000,2.7,2.38,1,6/9/1993,Blend,Medium,USD
MBVAX,MFS Virginia Municipal Bond Fund Class B,Muni Single State Long,MFS,311660000,2.51,2.33,2,6/9/1993,Blend,Medium,USD
MBVKX,BlackRock Basic Value Fund Class K,Large Value,BlackRock,2210000000,11.31,2.13,3,3/2/2015,Value,Large,USD
MBWVX,MFS West Virginia Municipal Bond Fund Class B,Muni Single State Long,MFS,105330000,2.29,2.4,1,6/9/1993,Blend,Medium,USD
MBXAX,Catalyst/Millburn Hedge Strategy Fund Class A,Multialternative,Catalyst Mutual Funds,4560000000,6.85,1.39,5,27/12/2015,Blend,Medium,USD
MBXCX,Catalyst/Millburn Hedge Strategy Fund Class C,Multialternative,Catalyst Mutual Funds,4560000000,6.62,0.84,5,27/12/2015,Blend,Medium,USD
MBXIX,Catalyst/Millburn Hedge Strategy Fund Class I,Multialternative,Catalyst Mutual Funds,4560000000,6.89,1.63,5,28/12/2015,Blend,Medium,USD
MCAGX,MFS Aggressive Growth Allocation Fund Class C,Allocation - 85%+ Equity,MFS,1790000000,13.91,0.63,4,27/6/2002,Growth,Large,USD
MCARX,MFS Conservative Allocation Fund Class R2,Allocation - 30% to 50% Equity,MFS,2850000000,7.63,2.06,3,30/10/2003,Growth,Large,USD
MCAVX,MFS California Municipal Bond Fund Class I,Muni California Long,MFS,415630000,3.24,3.43,4,31/3/2016,Growth,Medium,USD
MCBAX,BlackRock Basic Value Fund Investor C Shares,Large Value,BlackRock,2210000000,10.96,0.69,2,20/10/1994,Value,Large,USD
MCBDX,MassMutual Premier Core Bond Fund Class R5,Intermediate-Term Bond,MassMutual,1340000000,3.55,3.21,3,29/9/1994,Blend,Medium,USD
MCBIX,BMO TCH Core Plus Bond Fund Class I,Intermediate-Term Bond,BMO Funds,956660000,4.05,3.32,4,21/12/2008,Blend,Medium,USD
MCBLX,MassMutual Premier Core Bond Fund Administrative Class,Intermediate-Term Bond,MassMutual,1340000000,3.5,3.07,3,2/5/1999,Blend,Medium,USD
MCBNX,MassMutual Premier Core Bond Fund Class R3,Intermediate-Term Bond,MassMutual,1340000000,3.36,2.68,2,30/12/2002,Blend,Medium,USD
MCBRX,Madison Core Bond Fund Class R6,Intermediate-Term Bond,Madison Funds,159090000,3.26,2.69,3,18/4/2013,Blend,Medium,USD
MCBVX,MFS Mid Cap Value Fund Class B,Mid-Cap Value,MFS,8010000000,14.28,0.01,4,31/10/2001,Value,Medium,USD
MCBYX,MassMutual Premier Core Bond Fund Service Class,Intermediate-Term Bond,MassMutual,1340000000,3.48,3.13,3,1/1/1998,Blend,Medium,USD
MCCAX,MFS California Municipal Bond Fund Class C,Muni California Long,MFS,415630000,2.96,2.46,2,2/1/1994,Growth,Medium,USD
MCCCX,Miller Convertible Plus Fund Class C,Convertibles,Miller Investment,115930000,6.79,1.14,1,30/12/2014,,,USD
MCCGX,Mirae Asset Emerging Markets Great Consumer Fund Class C,Diversified Emerging Mkts,Mirae Asset Global Investments,360760000,13.75,0,4,3/11/2010,Growth,Large,USD
MCCMX,BlackRock California Municipal Opportunities Fund Investor C1 Shares,Muni California Intermediate,BlackRock,3010000000,2.2,2.05,4,20/10/1994,Value,Medium,USD
MCCPX,BlackRock Balanced Capital Fund Investor C Shares,Allocation - 50% to 70% Equity,BlackRock,1130000000,10.05,1.12,4,20/10/1994,Blend,Large,USD
MCCRX,MassMutual Premier Small Cap Opportunities Fund Class R3,Small Blend,MassMutual,209690000,11.73,0,3,31/3/2014,Blend,Small,USD
MCCVX,MainStay MacKay Convertible Fund Class C,Convertibles,MainStay,1340000000,11.92,0.15,3,31/8/1998,Value,Large,USD
MCDCX,"BlackRock Emerging Markets Fund, Inc. Investor C Shares",Diversified Emerging Mkts,BlackRock,472130000,11,0,3,20/10/1994,Growth,Large,USD
MCDDX,FDP BlackRock Capital Appreciation Fund Investor C Shares,Large Growth,FDP Series Funds,68650000,16.78,0,2,26/7/2005,Growth,Large,USD
MCDFX,Matthews China Dividend Fund Investor Class,China Region,Matthews Asia Funds,358080000,16.27,2.22,5,29/11/2009,Value,Large,USD
MCDVX,BlackRock Equity Dividend Fund Investor C Shares,Large Value,BlackRock,19120000000,9.99,1,3,20/10/1994,Value,Large,USD
MCEAX,MassMutual Premier Funds - MassMutual Premier Value Fund,Large Value,MassMutual,,,,3,31/10/2004,Value,Large,USD
MCEFX,BlackRock EuroFund Investor C Shares,Europe Stock,BlackRock,115580000,12.56,2.59,1,20/10/1994,Growth,Large,USD
MCEGX,BlackRock Long-Horizon Equity Fund Investor C Shares,World Large Stock,BlackRock,263760000,15.86,0,2,3/11/2005,Growth,Large,USD
MCEIX,Martin Currie Emerging Markets Fund Class I,Diversified Emerging Mkts,Legg Mason,150320000,13.95,0.88,5,28/5/2015,Growth,Large,USD
MCEMX,Martin Currie Emerging Markets Fund Class IS,Diversified Emerging Mkts,Legg Mason,150320000,14.02,0.9,5,28/5/2015,Growth,Large,USD
MCFAX,Miller Convertible Bond Fund Class A,Convertibles,Miller Investment,796960000,5.31,2.68,1,26/12/2007,,,USD
MCFCX,Miller Convertible Bond Fund Class C,Convertibles,Miller Investment,796960000,5.26,2.35,1,30/11/2009,,,USD
MCFFX,FDP BlackRock CoreAlpha Bond Fund Investor C Shares,Multisector Bond,FDP Series Funds,87190000,3.11,2.16,2,26/7/2005,,,USD
MCFGX,BlackRock Capital Appreciation Fund Investor C Shares,Large Growth,BlackRock,3090000000,16.76,0,3,30/12/1997,Growth,Large,USD
MCFOX,BlackRock Focus Growth Fund Investor C Shares,Large Growth,BlackRock,200850000,16.45,0,3,2/3/2000,Growth,Large,USD
MCFRX,Pioneer Multi-Asset Ultrashort Income Fund Class C,Ultrashort Bond,Pioneer Investments,5870000000,1,2.27,3,28/4/2011,Value,Medium,USD
MCFTX,MFS California Municipal Bond Fund Class A,Muni California Long,MFS,415630000,3.2,3.34,4,17/6/1985,Growth,Medium,USD
MCGAX,Transamerica Mid Cap Growth A,Mid-Cap Growth,Transamerica,78290000,19.11,0.06,2,30/10/2013,Growth,Medium,USD
MCGCX,"BlackRock Advantage Global Fund, Inc.Investor C Shares",World Large Stock,BlackRock,457730000,12.4,0.53,2,20/10/1994,Blend,Large,USD
MCGFX,AMG Managers Montag & Caldwell Growth Fund Class N,Large Growth,AMG Funds,516550000,14.17,0,2,1/11/1994,Growth,Large,USD
MCGIX,AMG Managers Montag & Caldwell Growth Fund Class I,Large Growth,AMG Funds,516550000,14.17,0.12,2,27/6/1996,Growth,Large,USD
MCGRX,BlackRock Natural Resources Trust Investor C Shares,Natural Resources,BlackRock,164850000,13.11,2.38,3,20/10/1994,Blend,Large,USD
MCGWX,MFS Growth Allocation Fund Class C,Allocation - 70% to 85% Equity,MFS,4930000000,12.13,1.06,3,27/6/2002,Growth,Large,USD
MCHFX,Matthews China Fund Investor Class,China Region,Matthews Asia Funds,854030000,24.08,1.38,4,18/2/1998,Blend,Large,USD
MCHQX,BlackRock Total Return Fund Investor C1 Shares,Intermediate-Term Bond,BlackRock,12820000000,3.2,2.43,3,23/9/2007,Growth,Medium,USD
MCIFX,Miller Convertible Bond Fund Class I,Convertibles,Miller Investment,796960000,5.52,3.19,1,26/12/2007,,,USD
MCIIX,BMO TCH Corporate Income Fund Class I,Corporate Bond,BMO Funds,294760000,5.2,3.59,4,21/12/2008,Blend,Medium,USD
MCILX,"BlackRock International Fund of BlackRock Series, Inc.Investor C Shares",Foreign Large Blend,BlackRock,551740000,13.85,0.53,2,29/10/1998,Growth,Large,USD
MCINX,MainStay MacKay Convertible Fund Investor Class,Convertibles,MainStay,1340000000,12.14,0.84,3,27/2/2008,Value,Large,USD
MCIQX,FDP BlackRock International Fund Investor C Shares,Foreign Large Blend,FDP Series Funds,62480000,14.06,0,2,26/7/2005,Blend,Large,USD
MCISX,Victory Trivalent International Small-Cap Fund Class C,Foreign Small/Mid Blend,Victory,1710000000,12.15,0,4,16/8/2007,Growth,Medium,USD
MCIYX,BMO TCH Corporate Income Fund Class Y,Corporate Bond,BMO Funds,294760000,5.07,3.44,4,21/12/2008,Blend,Medium,USD
MCJAX,MM Russell 2000 Small Cap Index Fund Class A,Small Blend,MassMutual,309210000,14.41,0.5,3,25/7/2012,Growth,Small,USD
MCJFX,MM Russell 2000 Small Cap Index Fund Class R4,Small Blend,MassMutual,309210000,14.38,0.6,4,31/3/2014,Growth,Small,USD
MCJIX,MM Russell 2000 Small Cap Index Fund Class R5,Small Blend,MassMutual,309210000,14.55,1,3,25/7/2012,Growth,Small,USD
MCJSX,MM Russell 2000 Small Cap Index Fund Service Class shares,Small Blend,MassMutual,309210000,14.46,0.8,3,25/7/2012,Growth,Small,USD
MCJTX,MM Russell 2000 Small Cap Index Fund Class R3,Small Blend,MassMutual,309210000,14.34,0.34,4,31/3/2014,Growth,Small,USD
MCJYX,MM Russell 2000 Small Cap Index Fund Administrative Class,Small Blend,MassMutual,309210000,14.53,0.74,3,25/7/2012,Growth,Small,USD
MCJZX,MM Russell 2000 Small Cap Index Fund Class I,Small Blend,MassMutual,309210000,14.64,1.11,4,25/7/2012,Growth,Small,USD
MCKAX,MainStay Conservative Allocation Fund Class A,Allocation - 30% to 50% Equity,MainStay,417640000,7.05,2.4,3,3/4/2005,Blend,Large,USD
MCKBX,MainStay Conservative Allocation Fund Class B,Allocation - 30% to 50% Equity,MainStay,417640000,6.91,1.47,2,3/4/2005,Blend,Large,USD
MCKCX,MainStay Conservative Allocation Fund Class C,Allocation - 30% to 50% Equity,MainStay,417640000,6.82,1.48,2,3/4/2005,Blend,Large,USD
MCKIX,MainStay Conservative Allocation Fund Class I,Allocation - 30% to 50% Equity,MainStay,417640000,7.15,2.63,3,3/4/2005,Blend,Large,USD
MCKNX,MainStay Conservative Allocation Fund Investor Class,Allocation - 30% to 50% Equity,MainStay,417640000,7.1,2.23,3,27/2/2008,Blend,Large,USD
MCKRX,MainStay Conservative Allocation Fund Class R3,Allocation - 30% to 50% Equity,MainStay,417640000,7,2.07,2,28/2/2016,Blend,Large,USD
MCLAX,Mirae Asset Asia Fund Class C,Pacific/Asia ex-Japan Stk,Mirae Asset Global Investments,36810000,12.79,0,2,23/9/2010,Growth,Large,USD
MCLGX,Mirae Asset Emerging Markets Fund Class C,Diversified Emerging Mkts,Mirae Asset Global Investments,78040000,10.44,0,4,23/9/2010,Growth,Large,USD
MCLHX,BlackRock Large Cap Focus Growth Fund Investor C Shares,Large Growth,BlackRock,888250000,16.46,0,4,21/12/1999,Growth,Large,USD
MCLOX,"BlackRock Global Allocation Fund, Inc. Investor C Shares",World Allocation,BlackRock,28100000000,7.15,0,2,20/10/1994,Blend,Large,USD
MCLRX,BlackRock Advantage Large Cap Core Fund Investor C Shares,Large Blend,BlackRock,2630000000,13.68,0.19,3,21/12/1999,Blend,Large,USD
MCLTX,"BlackRock Latin America Fund, Inc. Investor C Shares",Latin America Stock,BlackRock,159600000,5.07,0,3,20/10/1994,Blend,Large,USD
MCLVX,BlackRock Advantage Large Cap Value Fund Investor C Shares,Large Value,BlackRock,627730000,11.55,0.87,2,21/12/1999,Value,Large,USD
MCMAX,AMG Managers Cadence Mid Cap Fund - Class N,Mid-Cap Growth,AMG Funds,107920000,15.71,0.08,2,12/1/1997,Growth,Medium,USD
MCMFX,AMG Managers Cadence Mid Cap Fund - Class Z,Mid-Cap Growth,AMG Funds,107920000,15.8,0.45,3,25/8/1991,Growth,Medium,USD
MCMVX,Monongahela All Cap Value Fund,Mid-Cap Value,Moncapfund,12300000,13.36,1.8,5,30/6/2013,Value,Medium,USD
MCMYX,AMG Managers Cadence Mid Cap Fund - Class I,Mid-Cap Growth,AMG Funds,107920000,15.8,0.32,2,29/11/1994,Growth,Medium,USD
MCNAX,Madison Conservative Allocation Fund Class A,Allocation - 30% to 50% Equity,Madison Funds,68010000,5.9,1.91,2,29/6/2006,Blend,Large,USD
MCNBX,Madison Conservative Allocation Fund Class B,Allocation - 30% to 50% Equity,Madison Funds,68010000,5.62,0.71,1,29/6/2006,Blend,Large,USD
MCNCX,MFS North Carolina Municipal Bond Fund Class C,Muni Single State Long,MFS,409730000,2.44,2.41,2,2/1/1994,Blend,Medium,USD
MCNJX,BlackRock New Jersey Municipal Bond Fund Investor C1 Shares,Muni New Jersey,BlackRock,310860000,2.8,3.05,3,20/10/1994,Blend,Medium,USD
